ID,RMSE,RMSE_lower_bound,RMSE_upper_bound,MAE,MAE_lower_bound,MAE_upper_bound,ME,ME_lower_bound,ME_upper_bound
TEMOA-G1,2.1623992666099605,1.318245322297859,3.6872452228848065,1.4405882352941177,1.000870706918207,2.834809749352679,-0.5829411764705883,-1.8428949672398047,0.7762943905140544
TEMOA-G5,3.0189109840158856,1.723805631015609,4.678451888923272,2.171764705882353,1.3877269363965068,3.6766785432319744,0.6482352941176472,-0.9257344243751789,2.3480450077487145
CB8-G2,2.6640388400277635,2.324335112146699,5.171114810430113,2.216764705882353,1.8202343100713099,3.648020714459068,0.1867647058823533,-1.1120046187351988,1.623151059504126
TEETOA-G5,3.7043519715885216,1.7561690188072552,5.590924614401687,2.3741176470588234,1.351781981358859,4.133258831581917,2.028235294117647,0.5442952969395907,3.742512088161127
TEMOA-G2,3.0202950771309047,2.2938273152626825,4.272667362986906,2.604117647058824,1.8242876467669893,3.801673156155506,-1.5241176470588238,-2.9697763480250354,0.07896900112465609
TEMOA-G4,4.0936974513915185,2.272452217452157,5.976374730246481,2.64764705882353,1.5744165476395962,4.632872957473757,-0.5099999999999996,-2.6442704269727964,1.5969353807839666
CB8-G5,3.4193790285922487,2.731633275674856,5.952863678573778,2.7641176470588236,2.1345704066669473,4.2182597103824975,-0.49705882352941183,-1.9661008013988115,1.1786290088232847
TEETOA-G4,4.150899973287154,2.1447617086436614,6.213447365188276,2.826470588235294,1.641261911613371,4.623933423157741,0.5605882352941179,-1.4346028865486147,2.6278889282204196
TEETOA-G2,4.2039966978215055,2.332972262536134,6.513143640638665,2.9917647058823533,1.8863182978439221,4.768224949162779,0.23882352941176474,-1.7458931630625287,2.533722174936864
TEETOA-G1,4.230308707967526,2.817214919738288,5.717435887365303,3.186470588235294,2.036411116123192,4.783165935117996,-0.8664705882352943,-2.9781756627911005,1.2229554675430894
CB8-G1,4.246045565131923,3.5185873313411706,6.7029575423462235,3.6897058823529414,2.932724386773576,5.1665736394527375,3.4602941176470594,2.2105206605404844,4.882111774506605
CB8-G7,5.007098784255621,4.038991571599929,7.288729348204589,4.1179411764705875,3.1748041657604626,5.661029468087279,2.206764705882353,0.4138178271970514,4.079214725355918
CB8-G6,4.937737038241662,4.051455764283824,7.613591588738184,4.306470588235294,3.5110391549482762,5.797371602370787,0.8964705882352942,-0.9297451933825085,2.9019108140521914
CB8-G3,5.253022099370094,4.3086826031237875,7.881326184596537,4.747058823529411,3.757850736556875,6.218922433478805,3.2070588235294117,1.5176489681400622,5.013492203289387
CB8-G4,5.692611568567474,4.529218881810859,8.297818242917597,4.98264705882353,3.911990123333989,6.553301621005473,3.464411764705882,1.6890156740548115,5.391934624712614
