,Solvent-Combo,Molecule ID,Mean Error,Mean Absolute Error,Root Mean Squared Error
0,Octanol-water,SAMPL8-1,0.6151428571428571,1.744857142857143,1.744857142857143
1,Octanol-water,SAMPL8-5,1.795277777777778,1.944722222222222,1.944722222222222
2,Octanol-water,SAMPL8-6,1.1428571428571428,1.3948571428571428,1.3948571428571428
3,Octanol-water,SAMPL8-7,0.9266666666666669,1.408888888888889,1.408888888888889
4,Octanol-water,SAMPL8-9,0.9302857142857144,1.4937142857142856,1.4937142857142856
5,Octanol-water,SAMPL8-10,2.105714285714286,2.148,2.148
6,Octanol-water,SAMPL8-12,0.6891428571428573,1.602857142857143,1.602857142857143
7,Octanol-water,SAMPL8-14,-2.414285714285714,4.024571428571428,4.024571428571428
8,Octanol-water,SAMPL8-16,1.6182857142857145,1.7731428571428571,1.7731428571428571
9,Cyclohexane-water,SAMPL8-5,2.0877272727272724,2.455,2.455
10,Ethyl acetate-water,SAMPL8-1,4.286363636363638,4.286363636363638,4.286363636363638
11,Ethyl acetate-water,SAMPL8-17,5.001818181818182,5.072727272727273,5.072727272727273
12,Ethyl acetate-water,SAMPL8-3,-8.02909090909091,10.585454545454546,10.585454545454546
13,Ethyl acetate-water,SAMPL8-5,3.544090909090909,3.5759090909090903,3.5759090909090903
14,Ethyl acetate-water,SAMPL8-6,2.666818181818182,2.786818181818182,2.786818181818182
15,Ethyl acetate-water,SAMPL8-9,4.8209090909090895,4.889090909090908,4.889090909090908
16,Ethyl acetate-water,SAMPL8-10,3.985454545454546,4.120909090909092,4.120909090909092
17,Ethyl acetate-water,SAMPL8-12,3.446818181818181,3.6513636363636364,3.6513636363636364
18,Ethyl acetate-water,SAMPL8-14,-2.727272727272726,5.318181818181818,5.318181818181818
19,Ethyl acetate-water,SAMPL8-16,4.202727272727274,4.226363636363637,4.226363636363637
20,Heptane-water,SAMPL8-1,2.6595499999999994,2.8965499999999995,2.8965499999999995
21,Heptane-water,SAMPL8-16,1.492,2.0410000000000004,2.0410000000000004
22,Heptane-water,SAMPL8-5,2.24,2.64,2.64
23,Heptane-water,SAMPL8-10,1.329,2.598,2.598
24,MEK-water,SAMPL8-1,3.6052173913043477,3.6052173913043477,3.6052173913043477
25,MEK-water,SAMPL8-3,-8.70217391304348,10.265652173913043,10.265652173913043
26,MEK-water,SAMPL8-5,4.2404166666666665,4.2404166666666665,4.2404166666666665
27,MEK-water,SAMPL8-6,2.757391304347826,2.8156521739130436,2.8156521739130436
28,MEK-water,SAMPL8-7,1.143333333333333,2.6075,2.6075
29,MEK-water,SAMPL8-9,2.2204347826086956,3.153478260869565,3.153478260869565
30,MEK-water,SAMPL8-10,3.364347826086956,4.176521739130435,4.176521739130435
31,MEK-water,SAMPL8-12,1.3517391304347828,3.023043478260869,3.023043478260869
32,MEK-water,SAMPL8-14,-4.450434782608695,6.110434782608695,6.110434782608695
33,MEK-water,SAMPL8-16,2.353043478260869,2.4573913043478255,2.4573913043478255
34,MEK-water,SAMPL8-17,3.0934782608695657,3.917826086956522,3.917826086956522
35,TBME-water,SAMPL8-1,3.4438095238095237,3.6180952380952385,3.6180952380952385
36,TBME-water,SAMPL8-5,2.6286363636363634,2.809545454545454,2.809545454545454
37,TBME-water,SAMPL8-6,1.5842857142857147,2.189047619047619,2.189047619047619
38,TBME-water,SAMPL8-10,3.1695238095238087,3.824761904761905,3.824761904761905
39,TBME-water,SAMPL8-16,3.2576190476190483,3.318571428571429,3.318571428571429
40,Cyclohexane-DMF,SAMPL8-1,-1.4980952380952384,2.126666666666666,2.126666666666666
41,Cyclohexane-DMF,SAMPL8-6,-4.034761904761906,4.300476190476191,4.300476190476191
42,Cyclohexane-DMF,SAMPL8-16,-1.6285714285714283,1.8504761904761902,1.8504761904761902
