microstate ID,canonical isomeric SMILES,Estimated Formal Charge
SAMPL8-16_micro000,CC(C)(C)OC(=O)NCc1[nH]c2ccccc2n1,0
SAMPL8-16_micro001,CC(C)(C)OC(=NCC1=Nc2ccccc2[NH2+]1)O,1
SAMPL8-16_micro002,CC(C)(C)OC(=NC=C1Nc2ccccc2N1)O,0
SAMPL8-16_micro003,CC(C)(C)OC(=O)NC=C1[NH2+]c2ccccc2N1,1
SAMPL8-16_micro004,CC(C)(C)OC(=O)NCc1[nH]c2ccccc2[nH+]1,1
SAMPL8-16_micro005,CC(C)(C)OC(=O)N=CC1Nc2ccccc2N1,0
SAMPL8-16_micro006,CC(C)(C)OC(=O)N=CC1[NH2+]c2ccccc2N1,1
SAMPL8-16_micro007,CC(C)(C)OC(=O)NC=C1Nc2ccccc2N1,0
SAMPL8-16_micro008,CC(C)(C)OC(=NCc1[nH]c2ccccc2[nH+]1)O,1
SAMPL8-16_micro009,CC(C)(C)OC(=NC=C1[NH2+]c2ccccc2N1)O,1
SAMPL8-16_micro010,CC(C)(C)OC(=O)NCC1=Nc2ccccc2[NH2+]1,1
SAMPL8-16_micro011,CC(C)(C)OC(=NCc1[nH]c2ccccc2n1)O,0
SAMPL8-7_micro000,c1cc2c(cc1Br)n(c(n2)N)CC3(CCOCC3)O,0
SAMPL8-7_micro001,c1cc2c(cc1Br)n(c(=N)[n-]2)CC3(CCOCC3)O,-1
SAMPL8-7_micro002,c1cc2c(cc1Br)[n+](c([nH]2)N)CC3(CCOCC3)O,1
SAMPL8-7_micro003,c1cc2c(cc1Br)n(c(n2)[NH3+])CC3(CCOCC3)O,1
SAMPL8-7_micro004,c1cc2c(cc1Br)n(c(=N)[nH]2)CC3(CCOCC3)O,0
SAMPL8-8_micro000,COC(=O)c1cn2cccc(c2n1)C(F)(F)F,0
SAMPL8-8_micro001,COC(=C1C=[n+]2cccc(c2=[NH+]1)C(F)(F)F)[O-],1
SAMPL8-8_micro002,COC(=C1C=[n+]2cccc(c2=N1)C(F)(F)F)O,1
SAMPL8-19_micro000,CN1c2ccccc2NC1=CSc3[nH]c(=O)c(cn3)Cc4cnc(nc4)OC,0
SAMPL8-19_micro001,CN1c2ccccc2[NH2+]C1=CSc3[nH]cc(c(=O)n3)Cc4cnc(nc4)OC,1
SAMPL8-19_micro002,C[n+]1c2ccccc2[nH]c1CSc3[nH]cc(c(=O)[nH+]3)Cc4cnc(nc4)OC,2
SAMPL8-19_micro003,Cn1c2ccccc2[nH+]c1CSc3[nH+]c(c(cn3)Cc4cnc(nc4)OC)O,2
SAMPL8-19_micro004,CN1c2ccccc2NC1=CSc3[nH+]cc(c(n3)O)Cc4cnc(nc4)OC,1
SAMPL8-19_micro005,C[n+]1c2ccccc2[nH]c1CSc3[nH]c(=O)c(cn3)Cc4cnc(nc4)OC,1
SAMPL8-19_micro006,Cn1c2ccccc2nc1CSc3[nH]cc(c(=O)[nH+]3)Cc4cnc(nc4)OC,1
SAMPL8-19_micro007,Cn1c2ccccc2nc1CSc3[nH]c(=O)c(cn3)Cc4cnc(nc4)OC,0
SAMPL8-19_micro008,C[n+]1c2ccccc2[nH]c1CSc3ncc(c(n3)O)Cc4cnc(nc4)OC,1
SAMPL8-19_micro009,Cn1c2ccccc2[nH+]c1CSc3[nH]cc(c(=O)n3)Cc4cnc(nc4)OC,1
SAMPL8-19_micro010,CN1c2ccccc2NC1=CSc3[n-]c(=O)c(cn3)Cc4cnc(nc4)OC,-1
SAMPL8-19_micro011,Cn1c2ccccc2nc1CSc3[n-]c(=O)c(cn3)Cc4cnc(nc4)OC,-1
SAMPL8-19_micro012,CN1c2ccccc2[NH2+]C1=CSc3[nH]c(=O)c(c[nH+]3)Cc4cnc(nc4)OC,2
SAMPL8-19_micro013,Cn1c2ccccc2nc1CSc3[nH]cc(c(=O)n3)Cc4cnc(nc4)OC,0
SAMPL8-19_micro014,CN1c2ccccc2[NH2+]C1=CSc3[n-]c(=O)c(cn3)Cc4cnc(nc4)OC,0
SAMPL8-19_micro015,Cn1c2ccccc2nc1CSc3ncc(c(n3)O)Cc4cnc(nc4)OC,0
SAMPL8-19_micro016,CN1c2ccccc2[NH2+]C1=CSc3[nH]c(=O)c(cn3)Cc4cnc(nc4)OC,1
SAMPL8-19_micro017,Cn1c2ccccc2[nH+]c1CSc3[nH+]cc(c(n3)O)Cc4cnc(nc4)OC,2
SAMPL8-19_micro018,Cn1c2ccccc2nc1CSc3[nH+]c(c(cn3)Cc4cnc(nc4)OC)O,1
SAMPL8-19_micro019,Cn1c2ccccc2nc1CSc3[nH+]cc(c(n3)O)Cc4cnc(nc4)OC,1
SAMPL8-19_micro020,CN1c2ccccc2NC1=CSc3ncc(c(n3)O)Cc4cnc(nc4)OC,0
SAMPL8-19_micro021,CN1c2ccccc2[NH2+]C1=CSc3[nH+]cc(c(n3)O)Cc4cnc(nc4)OC,2
SAMPL8-19_micro022,CN1c2ccccc2NC1=CSc3[nH]c(=O)c(c[nH+]3)Cc4cnc(nc4)OC,1
SAMPL8-19_micro023,CN1c2ccccc2[NH2+]C1=CSc3ncc(c(n3)O)Cc4cnc(nc4)OC,1
SAMPL8-19_micro024,Cn1c2ccccc2[nH+]c1CSc3ncc(c(n3)[O-])Cc4cnc(nc4)OC,0
SAMPL8-19_micro025,CN1c2ccccc2NC1=CSc3[nH]cc(c(=O)n3)Cc4cnc(nc4)OC,0
