compound ID, pKa, uncertainty (every pKa is followed by an uncertainty; multiple pairs indicate multiple pKa values; N/A if not measured)
SAMPL8-1, 2.54, 0.32
SAMPL8-1, 5.01, 0.19
SAMPL8-2, 4.41, 0.02
SAMPL8-3, 4.00, 0.31
SAMPL8-4, 5.77, 0.17
SAMPL8-5, 3.92, 0.16
SAMPL8-6, 4.17, 0.09
SAMPL8-7, 6.63, 0.04
SAMPL8-8, 2.78, 0.08
SAMPL8-9, 6.08, 0.10
SAMPL8-10, 7.71, 0.15
SAMPL8-12, 6.98, 0.06
SAMPL8-14, 7.27, 0.08
SAMPL8-15, 2.54, 0.03
SAMPL8-16, 5.10, 0.10
SAMPL8-17, 6.58, 0.05
SAMPL8-18, 2.72, 0.09
SAMPL8-19, 4.93, 0.24
SAMPL8-19,6.99,0.22
SAMPL8-20, 2.44, 0.10
SAMPL8-20, 11.44, 0.16
SAMPL8-21, 5.38, 0.24
SAMPL8-22, 3.36, 0.09
SAMPL8-23, 2.65, 0.05
SAMPL8-23, 9.02, 0.03

