,Submission,R-squared,Slope,Kendall Tau
0,pKa-3DS-1,0.30052114388744117,0.5301859115981173,0.28723810604540806
1,pKa-RobertRaddi_AdaBoost,0.31796177130213255,0.37828213683013967,0.2627581929358463
2,pKa-3DS-2,0.2738929129067946,0.5714904715412041,0.2553227609292516
3,pKa-3DS-3,0.278248763880908,0.46953292974421107,0.2553227609292516
4,pKa_SabatinoRodriguezPaluch_uESE,0.08973439152539127,0.22902157801412698,0.21508174155370102
5,pKa-RobertRaddi_DeepGP,0.21311133729427406,0.2593404618345371,0.1063844837205215
6,pKa-ZhiyiWu-1,0.20085599541743435,0.4667923428285559,0.3342186823915959
7,pKa-RobertRaddi_RF,0.3047357473421089,0.3583555748223831,0.1276613804646258
8,PKA_ECRISM,0.24907518772064322,0.5966253658257515,0.31467673648335376
9,pKa-RobertRaddi_XGBoost,0.3511118880498083,0.43659821555537515,0.25067468838504453
10,pKa_Chemaxon,0.10522879889396493,0.21720013445306946,0.26739497283993857
11,pKa_SabatinoRodriguezPaluch_uESE_extra,0.08973439152539127,0.22902157801412698,0.21508174155370102
