,Submission,Method Name,Method Type,Molecule ID,Formal Charge,Predicted pKa,Experimental pKa,Absolute Error
0,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-1,0,-0.6000000000000512,2.54,3.140000000000051
1,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-1,-1,3.599999999999934,5.01,1.4100000000000659
2,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-2,-1,3.899999999999933,4.41,0.5100000000000673
3,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-3,-1,3.299999999999935,4.0,0.700000000000065
4,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-4,-1,3.4999999999999343,5.77,2.2700000000000653
5,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-5,-1,3.1999999999999353,3.92,0.7200000000000646
6,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-6,-1,3.3999999999999346,4.17,0.7700000000000653
7,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-7,-1,11.899999999999904,6.63,5.2699999999999045
8,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-8,0,1.7999999999999403,2.78,0.9800000000000595
9,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-9,-1,12.199999999999903,6.08,6.119999999999903
10,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-10,0,8.299999999999917,7.71,0.5899999999999173
11,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-12,-1,14.499999999999895,6.98,7.519999999999895
12,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-14,-1,9.699999999999912,7.27,2.4299999999999127
13,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-15,0,3.899999999999933,2.54,1.3599999999999328
14,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-16,0,6.699999999999923,5.1,1.5999999999999233
15,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-17,-1,11.499999999999906,6.58,4.919999999999906
16,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-18,-1,11.199999999999907,2.72,8.479999999999906
17,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-19,0,5.999999999999925,4.93,1.0699999999999257
18,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-19,-1,6.699999999999923,6.99,0.2900000000000773
19,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-20,0,4.69999999999993,2.44,2.25999999999993
20,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-20,-1,10.09999999999991,11.44,1.3400000000000887
21,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-21,-1,8.599999999999916,5.38,3.2199999999999163
22,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-22,-1,12.499999999999902,3.36,9.139999999999903
23,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-23,0,4.399999999999931,2.65,1.7499999999999312
24,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-23,-1,8.899999999999915,9.02,0.12000000000008448
25,pKa-RobertRaddi_AdaBoost,AdaBoost,QSPR/ML,SAMPL8-1,0,14,2.54,11.46
26,pKa-RobertRaddi_AdaBoost,AdaBoost,QSPR/ML,SAMPL8-1,-1,4.999999999999929,5.01,0.010000000000070841
27,pKa-RobertRaddi_AdaBoost,AdaBoost,QSPR/ML,SAMPL8-2,-1,7.199999999999921,4.41,2.789999999999921
