,Submission,Method Name,Method Type,Molecule ID,Formal Charge,Predicted pKa,Experimental pKa,Absolute Error
0,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-1,1,-0.6000000000000512,2.54,3.140000000000051
1,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-1,-1,3.599999999999934,5.01,1.4100000000000659
2,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-2,-1,3.899999999999933,4.41,0.5100000000000673
3,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-3,-1,3.299999999999935,4.0,0.700000000000065
4,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-4,-1,3.4999999999999343,5.77,2.2700000000000653
5,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-5,-1,3.1999999999999353,3.92,0.7200000000000646
6,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-6,-1,3.3999999999999346,4.17,0.7700000000000653
7,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-7,1,7.899999999999919,6.63,1.2699999999999187
8,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-8,1,1.7999999999999403,2.78,0.9800000000000595
9,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-9,1,7.699999999999919,6.08,1.6199999999999193
10,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-10,1,8.299999999999917,7.71,0.5899999999999173
11,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-12,1,8.499999999999917,6.98,1.519999999999916
12,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-14,1,8.599999999999916,7.27,1.3299999999999166
13,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-15,1,3.899999999999933,2.54,1.3599999999999328
14,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-16,1,6.699999999999923,5.1,1.5999999999999233
15,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-17,1,7.299999999999921,6.58,0.7199999999999207
16,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-18,1,5.199999999999928,2.72,2.479999999999928
17,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-19,1,5.999999999999925,4.93,1.0699999999999257
18,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-19,-1,6.699999999999923,6.99,0.2900000000000773
19,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-20,1,4.69999999999993,2.44,2.25999999999993
20,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-20,-1,10.09999999999991,11.44,1.3400000000000887
21,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-21,1,7.799999999999919,5.38,2.419999999999919
22,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-22,1,5.499999999999927,3.36,2.1399999999999273
23,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-23,1,4.399999999999931,2.65,1.7499999999999312
24,pKa-3DS-1,COSMO-RS one pKa fit,LFER,SAMPL8-23,-1,8.899999999999915,9.02,0.12000000000008448
25,pKa-RobertRaddi_AdaBoost,AdaBoost,QSPR/ML,SAMPL8-1,1,14,2.54,11.46
26,pKa-RobertRaddi_AdaBoost,AdaBoost,QSPR/ML,SAMPL8-1,-1,4.999999999999929,5.01,0.010000000000070841
27,pKa-RobertRaddi_AdaBoost,AdaBoost,QSPR/ML,SAMPL8-2,-1,7.199999999999921,4.41,2.789999999999921
28,pKa-RobertRaddi_AdaBoost,AdaBoost,QSPR/ML,SAMPL8-3,-1,4.999999999999929,4.0,0.999999999999929
29,pKa-RobertRaddi_AdaBoost,AdaBoost,QSPR/ML,SAMPL8-4,-1,3.4999999999999343,5.77,2.2700000000000653
30,pKa-RobertRaddi_AdaBoost,AdaBoost,QSPR/ML,SAMPL8-5,-1,0.29999999999994564,3.92,3.6200000000000543
31,pKa-RobertRaddi_AdaBoost,AdaBoost,QSPR/ML,SAMPL8-6,-1,-0.10000000000005294,4.17,4.270000000000053
32,pKa-RobertRaddi_AdaBoost,AdaBoost,QSPR/ML,SAMPL8-7,1,14,6.63,7.37
33,pKa-RobertRaddi_AdaBoost,AdaBoost,QSPR/ML,SAMPL8-8,1,5.6999999999999265,2.78,2.9199999999999267
34,pKa-RobertRaddi_AdaBoost,AdaBoost,QSPR/ML,SAMPL8-9,1,14,6.08,7.92
35,pKa-RobertRaddi_AdaBoost,AdaBoost,QSPR/ML,SAMPL8-10,1,5.299999999999928,7.71,2.410000000000072
36,pKa-RobertRaddi_AdaBoost,AdaBoost,QSPR/ML,SAMPL8-12,1,14,6.98,7.02
37,pKa-RobertRaddi_AdaBoost,AdaBoost,QSPR/ML,SAMPL8-14,1,0,7.27,7.27
38,pKa-RobertRaddi_AdaBoost,AdaBoost,QSPR/ML,SAMPL8-15,1,6.299999999999924,2.54,3.7599999999999243
39,pKa-RobertRaddi_AdaBoost,AdaBoost,QSPR/ML,SAMPL8-16,1,7.199999999999921,5.1,2.0999999999999215
40,pKa-RobertRaddi_AdaBoost,AdaBoost,QSPR/ML,SAMPL8-17,1,14,6.58,7.42
41,pKa-RobertRaddi_AdaBoost,AdaBoost,QSPR/ML,SAMPL8-18,1,14,2.72,11.28
42,pKa-RobertRaddi_AdaBoost,AdaBoost,QSPR/ML,SAMPL8-19,1,7.799999999999919,4.93,2.8699999999999193
43,pKa-RobertRaddi_AdaBoost,AdaBoost,QSPR/ML,SAMPL8-19,-1,5.199999999999928,6.99,1.790000000000072
44,pKa-RobertRaddi_AdaBoost,AdaBoost,QSPR/ML,SAMPL8-20,1,7.59999999999992,2.44,5.15999999999992
45,pKa-RobertRaddi_AdaBoost,AdaBoost,QSPR/ML,SAMPL8-20,-1,0,11.44,11.44
46,pKa-RobertRaddi_AdaBoost,AdaBoost,QSPR/ML,SAMPL8-21,1,14,5.38,8.620000000000001
47,pKa-RobertRaddi_AdaBoost,AdaBoost,QSPR/ML,SAMPL8-22,1,14,3.36,10.64
48,pKa-RobertRaddi_AdaBoost,AdaBoost,QSPR/ML,SAMPL8-23,1,3.599999999999934,2.65,0.949999999999934
49,pKa-RobertRaddi_AdaBoost,AdaBoost,QSPR/ML,SAMPL8-23,-1,7.999999999999918,9.02,1.0200000000000813
50,pKa-3DS-2,COSMO-RS base pKa fit,LFER,SAMPL8-1,1,-3.0000000000000426,2.54,5.540000000000043
51,pKa-3DS-2,COSMO-RS base pKa fit,LFER,SAMPL8-1,-1,2.0999999999999392,5.01,2.9100000000000605
