,Submission,Method Name,Method Type,Molecule ID,Formal Charge,Predicted pKa,Experimental pKa,Absolute Error
0,pKa-RobertRaddi_AdaBoost_modified,AdaBoost,QSPR/ML,SAMPL8-1,-1,4.999999999999929,5.01,0.010000000000070841
1,pKa-RobertRaddi_AdaBoost_modified,AdaBoost,QSPR/ML,SAMPL8-2,-1,7.199999999999921,4.41,2.789999999999921
2,pKa-RobertRaddi_AdaBoost_modified,AdaBoost,QSPR/ML,SAMPL8-3,-1,4.999999999999929,4.0,0.999999999999929
3,pKa-RobertRaddi_AdaBoost_modified,AdaBoost,QSPR/ML,SAMPL8-4,-1,3.4999999999999343,5.77,2.2700000000000653
4,pKa-RobertRaddi_AdaBoost_modified,AdaBoost,QSPR/ML,SAMPL8-5,-1,0.29999999999994564,3.92,3.6200000000000543
5,pKa-RobertRaddi_AdaBoost_modified,AdaBoost,QSPR/ML,SAMPL8-6,-1,-0.10000000000005294,4.17,4.270000000000053
6,pKa-RobertRaddi_AdaBoost_modified,AdaBoost,QSPR/ML,SAMPL8-8,0,5.6999999999999265,2.78,2.9199999999999267
7,pKa-RobertRaddi_AdaBoost_modified,AdaBoost,QSPR/ML,SAMPL8-10,0,5.299999999999928,7.71,2.410000000000072
8,pKa-RobertRaddi_AdaBoost_modified,AdaBoost,QSPR/ML,SAMPL8-15,0,6.299999999999924,2.54,3.7599999999999243
9,pKa-RobertRaddi_AdaBoost_modified,AdaBoost,QSPR/ML,SAMPL8-16,0,7.199999999999921,5.1,2.0999999999999215
10,pKa-RobertRaddi_AdaBoost_modified,AdaBoost,QSPR/ML,SAMPL8-19,0,7.799999999999919,4.93,2.8699999999999193
11,pKa-RobertRaddi_AdaBoost_modified,AdaBoost,QSPR/ML,SAMPL8-19,-1,5.199999999999928,6.99,1.790000000000072
12,pKa-RobertRaddi_AdaBoost_modified,AdaBoost,QSPR/ML,SAMPL8-20,0,7.59999999999992,2.44,5.15999999999992
13,pKa-RobertRaddi_AdaBoost_modified,AdaBoost,QSPR/ML,SAMPL8-23,0,3.599999999999934,2.65,0.949999999999934
14,pKa-RobertRaddi_AdaBoost_modified,AdaBoost,QSPR/ML,SAMPL8-23,-1,7.999999999999918,9.02,1.0200000000000813
15,pKa_SabatinoRodriguezPaluch_uESE_modified,RFE-uESE,QM,SAMPL8-1,-1,7.59999999999992,5.01,2.58999999999992
16,pKa_SabatinoRodriguezPaluch_uESE_modified,RFE-uESE,QM,SAMPL8-2,-1,8.099999999999918,4.41,3.689999999999918
17,pKa_SabatinoRodriguezPaluch_uESE_modified,RFE-uESE,QM,SAMPL8-3,-1,6.299999999999924,4.0,2.2999999999999243
18,pKa_SabatinoRodriguezPaluch_uESE_modified,RFE-uESE,QM,SAMPL8-4,-1,11.099999999999907,5.77,5.329999999999908
19,pKa_SabatinoRodriguezPaluch_uESE_modified,RFE-uESE,QM,SAMPL8-5,-1,7.59999999999992,3.92,3.67999999999992
20,pKa_SabatinoRodriguezPaluch_uESE_modified,RFE-uESE,QM,SAMPL8-6,-1,5.799999999999926,4.17,1.6299999999999262
21,pKa_SabatinoRodriguezPaluch_uESE_modified,RFE-uESE,QM,SAMPL8-7,0,8.799999999999915,6.63,2.1699999999999156
22,pKa_SabatinoRodriguezPaluch_uESE_modified,RFE-uESE,QM,SAMPL8-8,0,4.59999999999993,2.78,1.8199999999999306
23,pKa_SabatinoRodriguezPaluch_uESE_modified,RFE-uESE,QM,SAMPL8-9,0,5.899999999999926,6.08,0.18000000000007432
24,pKa_SabatinoRodriguezPaluch_uESE_modified,RFE-uESE,QM,SAMPL8-10,0,6.499999999999924,7.71,1.2100000000000763
25,pKa_SabatinoRodriguezPaluch_uESE_modified,RFE-uESE,QM,SAMPL8-15,0,1.0999999999999428,2.54,1.4400000000000572
26,pKa_SabatinoRodriguezPaluch_uESE_modified,RFE-uESE,QM,SAMPL8-16,0,3.599999999999934,5.1,1.5000000000000657
27,pKa_SabatinoRodriguezPaluch_uESE_modified,RFE-uESE,QM,SAMPL8-17,0,5.199999999999928,6.58,1.3800000000000718
28,pKa_SabatinoRodriguezPaluch_uESE_modified,RFE-uESE,QM,SAMPL8-18,0,1.599999999999941,2.72,1.1200000000000592
29,pKa_SabatinoRodriguezPaluch_uESE_modified,RFE-uESE,QM,SAMPL8-19,0,3.0999999999999357,4.93,1.830000000000064
30,pKa_SabatinoRodriguezPaluch_uESE_modified,RFE-uESE,QM,SAMPL8-19,-1,11.999999999999904,6.99,5.009999999999904
31,pKa_SabatinoRodriguezPaluch_uESE_modified,RFE-uESE,QM,SAMPL8-20,0,1.1999999999999424,2.44,1.2400000000000575
32,pKa_SabatinoRodriguezPaluch_uESE_modified,RFE-uESE,QM,SAMPL8-23,0,2.0999999999999392,2.65,0.5500000000000607
33,pKa_SabatinoRodriguezPaluch_uESE_modified,RFE-uESE,QM,SAMPL8-23,-1,13.499999999999899,9.02,4.479999999999899
34,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-1,-1,4.099999999999932,5.01,0.9100000000000676
35,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-2,-1,6.099999999999925,4.41,1.689999999999925
36,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-3,-1,6.699999999999923,4.0,2.699999999999923
37,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-4,-1,6.499999999999924,5.77,0.729999999999924
38,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-5,-1,4.499999999999931,3.92,0.5799999999999308
39,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-6,-1,3.9999999999999325,4.17,0.17000000000006743
40,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-7,0,11.299999999999907,6.63,4.669999999999907
41,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-8,0,4.399999999999931,2.78,1.6199999999999313
42,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-9,0,4.499999999999931,6.08,1.5800000000000693
43,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-10,0,5.599999999999927,7.71,2.110000000000073
44,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-15,0,4.299999999999931,2.54,1.7599999999999314
45,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-16,0,4.69999999999993,5.1,0.40000000000006963
46,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-17,0,4.499999999999931,6.58,2.0800000000000693
47,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-18,0,4.199999999999932,2.72,1.4799999999999316
48,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-19,0,0.6999999999999442,4.93,4.2300000000000555
49,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-19,-1,11.099999999999907,6.99,4.109999999999907
50,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-20,0,1.3999999999999417,2.44,1.0400000000000582
51,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-23,0,3.299999999999935,2.65,0.6499999999999351
52,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-23,-1,9.999999999999911,9.02,0.9799999999999116
53,pKa-3DS-1_modified,COSMO-RS one pKa fit,QM+LEC,SAMPL8-1,0,-0.6000000000000512,2.54,3.140000000000051
54,pKa-3DS-1_modified,COSMO-RS one pKa fit,QM+LEC,SAMPL8-1,-1,3.599999999999934,5.01,1.4100000000000659
55,pKa-3DS-1_modified,COSMO-RS one pKa fit,QM+LEC,SAMPL8-2,-1,3.899999999999933,4.41,0.5100000000000673
56,pKa-3DS-1_modified,COSMO-RS one pKa fit,QM+LEC,SAMPL8-3,-1,3.299999999999935,4.0,0.700000000000065
57,pKa-3DS-1_modified,COSMO-RS one pKa fit,QM+LEC,SAMPL8-4,-1,3.4999999999999343,5.77,2.2700000000000653
58,pKa-3DS-1_modified,COSMO-RS one pKa fit,QM+LEC,SAMPL8-5,-1,3.1999999999999353,3.92,0.7200000000000646
59,pKa-3DS-1_modified,COSMO-RS one pKa fit,QM+LEC,SAMPL8-6,-1,3.3999999999999346,4.17,0.7700000000000653
60,pKa-3DS-1_modified,COSMO-RS one pKa fit,QM+LEC,SAMPL8-7,0,7.899999999999919,6.63,1.2699999999999187
61,pKa-3DS-1_modified,COSMO-RS one pKa fit,QM+LEC,SAMPL8-8,0,1.7999999999999403,2.78,0.9800000000000595
