,Submission,Method Name,Method Type,Molecule ID,Formal Charge,Predicted pKa,Experimental pKa,Absolute Error
0,pKa-RobertRaddi_AdaBoost_modified,AdaBoost,QSPR/ML,SAMPL8-10,0,0,7.71,7.71
1,pKa-RobertRaddi_AdaBoost_modified,AdaBoost,QSPR/ML,SAMPL8-12,-1,14,6.98,7.02
2,pKa-RobertRaddi_AdaBoost_modified,AdaBoost,QSPR/ML,SAMPL8-14,-1,0,7.27,7.27
3,pKa-RobertRaddi_AdaBoost_modified,AdaBoost,QSPR/ML,SAMPL8-15,0,14,2.54,11.46
4,pKa-RobertRaddi_AdaBoost_modified,AdaBoost,QSPR/ML,SAMPL8-16,0,14,5.1,8.9
5,pKa-RobertRaddi_AdaBoost_modified,AdaBoost,QSPR/ML,SAMPL8-17,-1,14,6.58,7.42
6,pKa-RobertRaddi_AdaBoost_modified,AdaBoost,QSPR/ML,SAMPL8-18,-1,14,2.72,11.28
7,pKa-RobertRaddi_AdaBoost_modified,AdaBoost,QSPR/ML,SAMPL8-19,1,14,4.93,9.07
8,pKa-RobertRaddi_AdaBoost_modified,AdaBoost,QSPR/ML,SAMPL8-19,1,14,6.99,7.01
9,pKa-RobertRaddi_AdaBoost_modified,AdaBoost,QSPR/ML,SAMPL8-1,-1,14,2.54,11.46
10,pKa-RobertRaddi_AdaBoost_modified,AdaBoost,QSPR/ML,SAMPL8-1,-1,14,5.01,8.99
11,pKa-RobertRaddi_AdaBoost_modified,AdaBoost,QSPR/ML,SAMPL8-20,0,14,2.44,11.56
12,pKa-RobertRaddi_AdaBoost_modified,AdaBoost,QSPR/ML,SAMPL8-21,-1,14,5.38,8.620000000000001
13,pKa-RobertRaddi_AdaBoost_modified,AdaBoost,QSPR/ML,SAMPL8-22,-1,14,3.36,10.64
14,pKa-RobertRaddi_AdaBoost_modified,AdaBoost,QSPR/ML,SAMPL8-23,0,14,2.65,11.35
15,pKa-RobertRaddi_AdaBoost_modified,AdaBoost,QSPR/ML,SAMPL8-23,0,0,9.02,9.02
16,pKa-RobertRaddi_AdaBoost_modified,AdaBoost,QSPR/ML,SAMPL8-2,-1,14,4.41,9.59
17,pKa-RobertRaddi_AdaBoost_modified,AdaBoost,QSPR/ML,SAMPL8-3,-1,14,4.0,10.0
18,pKa-RobertRaddi_AdaBoost_modified,AdaBoost,QSPR/ML,SAMPL8-4,-1,14,5.77,8.23
19,pKa-RobertRaddi_AdaBoost_modified,AdaBoost,QSPR/ML,SAMPL8-5,0,14,3.92,10.08
20,pKa-RobertRaddi_AdaBoost_modified,AdaBoost,QSPR/ML,SAMPL8-6,0,14,4.17,9.83
21,pKa-RobertRaddi_AdaBoost_modified,AdaBoost,QSPR/ML,SAMPL8-7,-1,14,6.63,7.37
22,pKa-RobertRaddi_AdaBoost_modified,AdaBoost,QSPR/ML,SAMPL8-8,0,14,2.78,11.22
23,pKa-RobertRaddi_AdaBoost_modified,AdaBoost,QSPR/ML,SAMPL8-9,-1,14,6.08,7.92
24,pKa_SabatinoRodriguezPaluch_uESE_modified,RFE-uESE,QM,SAMPL8-10,0,0,7.71,7.71
25,pKa_SabatinoRodriguezPaluch_uESE_modified,RFE-uESE,QM,SAMPL8-12,-1,14,6.98,7.02
26,pKa_SabatinoRodriguezPaluch_uESE_modified,RFE-uESE,QM,SAMPL8-14,-1,0,7.27,7.27
27,pKa_SabatinoRodriguezPaluch_uESE_modified,RFE-uESE,QM,SAMPL8-15,0,14,2.54,11.46
28,pKa_SabatinoRodriguezPaluch_uESE_modified,RFE-uESE,QM,SAMPL8-16,0,14,5.1,8.9
29,pKa_SabatinoRodriguezPaluch_uESE_modified,RFE-uESE,QM,SAMPL8-17,0,14,6.58,7.42
30,pKa_SabatinoRodriguezPaluch_uESE_modified,RFE-uESE,QM,SAMPL8-18,0,14,2.72,11.28
31,pKa_SabatinoRodriguezPaluch_uESE_modified,RFE-uESE,QM,SAMPL8-19,1,14,4.93,9.07
32,pKa_SabatinoRodriguezPaluch_uESE_modified,RFE-uESE,QM,SAMPL8-19,1,14,6.99,7.01
33,pKa_SabatinoRodriguezPaluch_uESE_modified,RFE-uESE,QM,SAMPL8-1,-1,14,2.54,11.46
34,pKa_SabatinoRodriguezPaluch_uESE_modified,RFE-uESE,QM,SAMPL8-1,-1,14,5.01,8.99
35,pKa_SabatinoRodriguezPaluch_uESE_modified,RFE-uESE,QM,SAMPL8-20,0,14,2.44,11.56
36,pKa_SabatinoRodriguezPaluch_uESE_modified,RFE-uESE,QM,SAMPL8-21,-1,14,5.38,8.620000000000001
37,pKa_SabatinoRodriguezPaluch_uESE_modified,RFE-uESE,QM,SAMPL8-22,-1,14,3.36,10.64
38,pKa_SabatinoRodriguezPaluch_uESE_modified,RFE-uESE,QM,SAMPL8-23,0,14,2.65,11.35
39,pKa_SabatinoRodriguezPaluch_uESE_modified,RFE-uESE,QM,SAMPL8-23,0,0,9.02,9.02
40,pKa_SabatinoRodriguezPaluch_uESE_modified,RFE-uESE,QM,SAMPL8-2,-1,14,4.41,9.59
41,pKa_SabatinoRodriguezPaluch_uESE_modified,RFE-uESE,QM,SAMPL8-3,-1,14,4.0,10.0
42,pKa_SabatinoRodriguezPaluch_uESE_modified,RFE-uESE,QM,SAMPL8-4,0,14,5.77,8.23
43,pKa_SabatinoRodriguezPaluch_uESE_modified,RFE-uESE,QM,SAMPL8-5,0,14,3.92,10.08
44,pKa_SabatinoRodriguezPaluch_uESE_modified,RFE-uESE,QM,SAMPL8-6,0,14,4.17,9.83
45,pKa_SabatinoRodriguezPaluch_uESE_modified,RFE-uESE,QM,SAMPL8-7,0,14,6.63,7.37
46,pKa_SabatinoRodriguezPaluch_uESE_modified,RFE-uESE,QM,SAMPL8-8,0,14,2.78,11.22
47,pKa_SabatinoRodriguezPaluch_uESE_modified,RFE-uESE,QM,SAMPL8-9,0,14,6.08,7.92
48,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-10,0,0,7.71,7.71
49,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-12,-1,14,6.98,7.02
50,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-14,-1,0,7.27,7.27
51,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-15,0,14,2.54,11.46
52,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-16,0,14,5.1,8.9
53,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-17,0,14,6.58,7.42
54,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-18,0,14,2.72,11.28
55,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-19,1,14,4.93,9.07
56,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-19,1,14,6.99,7.01
57,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-1,-1,14,2.54,11.46
58,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-1,-1,14,5.01,8.99
59,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-20,0,14,2.44,11.56
60,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-21,-1,14,5.38,8.620000000000001
61,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-22,-1,14,3.36,10.64
62,pKa-ZhiyiWu-1_modified,QM with linear fitting,QM,SAMPL8-23,0,14,2.65,11.35
